"metric_id","start_date","time_range_length","value","last_calculated_at","end_date"
4,949,1,4,1315325102,949
4,1119,1,1,1329861902,1119
4,949,7,4,1315325102,955
4,1117,7,1,1329861902,1123
4,942,30,4,1315325102,972
4,1095,30,1,1329861902,1125
15,901,1,2576,1308716102,901
15,902,1,2738,1308803102,902
15,903,1,2493,1308893701,903
15,904,1,2081,1308981301,904
15,905,1,1540,1309061102,905
15,906,1,1843,1309148401,906
15,907,1,2832,1309235402,907
15,908,1,2842,1309322701,908
15,909,1,2659,1309410001,909
15,910,1,2394,1309493402,910
15,911,1,1988,1309580702,911
15,912,1,1571,1309668002,912
15,913,1,1659,1309755302,913
15,914,1,2003,1309839001,914
15,915,1,2689,1309926301,915
15,916,1,2702,1310013302,916
15,917,1,2607,1310100602,917
15,918,1,2155,1310191202,918
15,919,1,1633,1310275201,919
15,920,1,1891,1310365802,920
15,921,1,2938,1310449501,921
15,922,1,2888,1310529601,922
15,923,1,2887,1310620202,923
15,924,1,3037,1310707801,924
15,925,1,2522,1310791202,925
15,926,1,1793,1310881801,926
15,927,1,2053,1310965202,927
15,928,1,3051,1311052202,928
15,929,1,2890,1311135902,929
15,930,1,2720,1311223201,930
15,931,1,2608,1311317702,931
15,932,1,2156,1311397502,932
15,933,1,1528,1311484801,933
15,934,1,1818,1311567901,934
15,935,1,2766,1311659101,935
15,936,1,2743,1311739201,936
15,937,1,2607,1311825902,937
15,938,1,2191,1311916802,938
15,939,1,2043,1312004102,939
15,940,1,1452,1312087502,940
15,941,1,1774,1312174802,941
15,942,1,2684,1312258502,942
15,943,1,2689,1312345801,943
15,944,1,2522,1312433102,944
15,945,1,2673,1312556402,945
15,946,1,2054,1312607402,946
15,947,1,1589,1312694702,947
15,948,1,1802,1312781701,948
15,949,1,2626,1312865401,949
15,950,1,2577,1312957801,950
15,951,1,2602,1313040002,951
15,952,1,2306,1313123402,952
15,953,1,1965,1313210702,953
15,954,1,1420,1313297401,954
15,955,1,1690,1313381101,955
15,956,1,2450,1313472301,956
15,957,1,2547,1313555402,957
15,958,1,2808,1313649902,958
15,959,1,2502,1313729702,959
15,960,1,2138,1313813701,960
15,961,1,1537,1313901002,961
15,962,1,1917,1313988602,962
15,963,1,2865,1314075601,963
15,964,1,2779,1314162902,964
15,965,1,2528,1314246901,965
15,966,1,2384,1314334202,966
15,967,1,1906,1314417902,967
15,968,1,1609,1314512402,968
15,969,1,1721,1314596402,969
15,970,1,2595,1314684001,970
15,971,1,2717,1314764102,971
15,972,1,2430,1314855002,972
15,973,1,2226,1314939002,973
15,974,1,1829,1315030202,974
15,975,1,1380,1315110301,975
15,976,1,1682,1315201502,976
15,977,1,2118,1315285202,977
15,978,1,2776,1315373101,978
15,979,1,2685,1315460701,979
15,980,1,2544,1315540802,980
15,981,1,2050,1315628401,981
15,982,1,1667,1315719602,982
15,983,1,1898,1315800001,983
15,984,1,2876,1315891202,984
15,985,1,2844,1315974902,985
15,986,1,2613,1316062501,986
15,987,1,2432,1316146202,987
15,988,1,2814,1316233502,988
15,989,1,1648,1316324701,989
15,990,1,2697,1316405102,990
15,991,1,3380,1316496002,991
15,992,1,2951,1316579701,992
15,993,1,2824,1316674202,993
15,994,1,2395,1316750701,994
15,995,1,2031,1316837702,995
15,996,1,1623,1316925002,996
15,997,1,1948,1317012301,997
15,998,1,2895,1317099002,998
15,999,1,2882,1317189602,999
15,1000,1,2823,1317269402,1000
15,1001,1,2517,1317356402,1001
15,1002,1,2061,1317446702,1002
15,1003,1,1512,1317530102,1003
15,1004,1,1861,1317621001,1004
15,1005,1,2856,1317707702,1005
15,1006,1,2705,1317791102,1006
15,1007,1,2571,1317874801,1007
15,1008,1,2373,1317969901,1008
15,1009,1,2094,1318060802,1009
15,1010,1,1577,1318170001,1010
15,1011,1,1853,1318224901,1011
15,1012,1,2603,1318311902,1012
15,1013,1,2792,1318392002,1013
15,1014,1,2666,1318479301,1014
15,1015,1,2532,1318570203,1015
15,1016,1,2091,1318653902,1016
15,1017,1,1765,1318741502,1017
15,1018,1,2096,1318832402,1018
15,1019,1,2883,1318912202,1019
15,1020,1,2943,1318999801,1020
15,1021,1,2880,1319083801,1021
15,1022,1,2424,1319174702,1022
15,1023,1,2050,1319262301,1023
15,1024,1,1520,1319342401,1024
15,1025,1,1888,1319429402,1025
15,1026,1,2789,1319516702,1026
15,1027,1,2589,1319604602,1027
15,1028,1,2363,1319691902,1028
15,1029,1,2299,1319779502,1029
15,1030,1,2138,1319867101,1030
15,1031,1,1537,1319958002,1031
15,1032,1,1691,1320034801,1032
15,1033,1,2362,1320122101,1033
15,1034,1,2588,1320209702,1034
15,1035,1,907,1320300902,1035
15,1036,1,19,1320381001,1036
15,1037,1,8,1320468302,1037
15,1038,1,9,1320555902,1038
15,1039,1,15,1320647102,1039
15,1040,1,9,1320730802,1040
15,1041,1,7,1320822002,1041
15,1042,1,18,1320902101,1042
15,1043,1,13,1320989402,1043
15,1044,1,7,1321080302,1044
15,1045,1,10,1321164002,1045
15,1046,1,4,1321248002,1046
15,1047,1,9,1321335601,1047
15,1048,1,4,1321426501,1048
15,1049,1,6,1321506602,1049
15,1050,1,10,1321604702,1050
15,1051,1,9,1321681501,1051
15,1052,1,3,1321772102,1052
15,1053,1,5,1321859402,1053
15,1054,1,9,1321950002,1054
15,1055,1,9,1322030101,1055
15,1056,1,12,1322120402,1056
15,1057,1,8,1322200502,1057
15,1058,1,7,1322287202,1058
15,1059,1,10,1322374502,1059
15,1060,1,12,1322465101,1060
15,1061,1,13,1322551802,1061
15,1062,1,24,1322631602,1062
15,1063,1,12,1322722501,1063
15,1064,1,7,1322802302,1064
15,1065,1,2,1322889301,1065
15,1066,1,3,1322976001,1066
15,1067,1,1,1323062702,1067
15,1068,1,8,1323149702,1068
15,1069,1,5,1323236701,1069
15,1070,1,1,1323323702,1070
15,1074,1,1,1323672601,1074
15,1075,1,1,1323756002,1075
15,1077,1,1,1323934502,1077
15,1078,1,7,1324018502,1078
15,1079,1,4,1324098302,1079
15,1080,1,1,1324240202,1080
15,1081,1,4,1324273202,1081
15,1082,1,2,1324393202,1082
15,1084,1,2,1324531802,1084
15,1085,1,3,1324619402,1085
15,1086,1,2,1324703401,1086
15,1087,1,4,1324790702,1087
15,1088,1,5,1324878002,1088
15,1089,1,2,1324965601,1089
15,1090,1,2,1325053202,1090
15,1091,1,6,1325140501,1091
15,1092,1,7,1325231401,1092
15,1093,1,2,1325311802,1093
15,1094,1,7,1325395502,1094
15,1095,1,12,1325490001,1095
15,1096,1,7,1325574002,1096
15,1097,1,11,1325658001,1097
15,1098,1,10,1325745302,1098
15,1099,1,7,1325832901,1099
15,1100,1,5,1325913301,1100
15,1101,1,2,1326000602,1101
15,1102,1,2,1326102602,1102
15,1103,1,4,1326171902,1103
15,1104,1,2,1326263102,1104
15,1105,1,2,1326347102,1105
15,1106,1,4,1326430801,1106
15,1107,1,4,1326518402,1107
15,1108,1,2,1326606001,1108
15,1109,1,2,1326700801,1109
15,1110,1,6,1326780902,1110
15,1111,1,7,1326868501,1111
15,1112,1,8,1326952202,1112
15,1113,1,8,1327036201,1113
15,1114,1,5,1327127401,1114
15,1115,1,9,1327218302,1115
15,1116,1,4,1327302302,1116
15,1117,1,4,1327382402,1117
15,1118,1,7,1327470002,1118
15,1119,1,9,1327557302,1119
15,1120,1,2,1327641301,1120
15,1121,1,7,1327728602,1121
15,1122,1,5,1327815902,1122
15,1123,1,3,1327906801,1123
15,1124,1,3,1327986602,1124
15,1125,1,4,1328077801,1125
15,1126,1,4,1328165101,1126
15,1127,1,3,1328252101,1127
15,1128,1,1,1328331902,1128
15,1129,1,4,1328422802,1129
15,1130,1,2,1328517302,1130
15,1131,1,7,1328593502,1131
15,1132,1,18,1328680802,1132
15,1133,1,10,1328771702,1133
15,1134,1,16,1328851502,1134
15,1135,1,8,1328939101,1135
15,1136,1,2,1329022802,1136
15,1137,1,2,1329117602,1137
15,1138,1,2,1329201002,1138
15,1139,1,8,1329284701,1139
15,1140,1,3,1329375302,1140
15,1141,1,10,1329502801,1141
15,1142,1,6,1329542702,1142
15,1143,1,5,1329633302,1143
15,1144,1,5,1329738602,1144
15,1145,1,12,1329807601,1145
15,1146,1,14,1329887701,1146
15,1147,1,6,1329982201,1147
15,1148,1,4,1330062002,1148
15,1149,1,8,1330149602,1149
15,1150,1,8,1330236902,1150
15,1151,1,5,1330320901,1151
15,1152,1,6,1330411802,1152
15,1153,1,9,1330495501,1153
15,1154,1,8,1330583101,1154
15,1155,1,9,1330674002,1155
15,1156,1,3,1330757701,1156
15,1157,1,4,1330838101,1157
15,1158,1,6,1330929002,1158
15,1159,1,6,1331016302,1159
15,1160,1,10,1331103601,1160
15,1161,1,10,1331187002,1161
15,1162,1,1,1331274302,1162
15,1163,1,6,1331365202,1163
15,1164,1,3,1331441702,1164
15,1165,1,5,1331525402,1165
15,1166,1,6,1331638501,1166
15,1167,1,8,1331707502,1167
15,1168,1,8,1331820601,1168
15,1169,1,6,1331882701,1169
15,1170,1,5,1331959201,1170
15,1171,1,6,1332053701,1171
15,1172,1,6,1332144601,1172
15,1173,1,8,1332242701,1173
15,1174,1,9,1332333601,1174
15,1175,1,8,1332464402,1175
15,1176,1,5,1332496801,1176
15,1177,1,8,1332573301,1177
15,1178,1,4,1332650101,1178
15,1179,1,2,1332752102,1179
15,1180,1,6,1332821102,1180
15,1181,1,9,1332912301,1181
15,1182,1,7,1332995701,1182
15,1183,1,8,1333090201,1183
15,1184,1,4,1333373402,1184
15,1185,1,3,1333373402,1185
15,1186,1,3,1333373402,1186
15,1187,1,6,1333438803,1187
15,1188,1,4,1333515302,1188
15,1189,1,8,1333609502,1189
15,1190,1,6,1333689602,1190
15,1191,1,6,1333773302,1191
15,1192,1,4,1333868102,1192
15,1193,1,2,1333944602,1193
15,1194,1,6,1334031901,1194
15,1195,1,8,1334119201,1195
15,1196,1,4,1334224501,1196
15,1197,1,3,1334301301,1197
15,1199,1,3,1334468701,1199
15,1200,1,3,1334552101,1200
15,1201,1,4,1334640002,1201
15,1202,1,4,1334727301,1202
15,1203,1,4,1334811601,1203
15,1204,1,7,1334979002,1204
15,1205,1,1,1335000902,1205
15,1206,1,2,1335077102,1206
15,1207,1,3,1335157501,1207
15,1208,1,4,1335240901,1208
15,1209,1,7,1335470102,1209
15,1210,1,6,1335470102,1210
15,1211,1,8,1335506701,1211
15,1212,1,4,1335594302,1212
15,1213,1,2,1336395001,1213
15,1214,1,4,1336395001,1214
15,1215,1,6,1336395001,1215
15,1216,1,5,1336395001,1216
15,1217,1,5,1336395001,1217
15,1218,1,4,1336395001,1218
15,1219,1,6,1336395001,1219
15,1220,1,3,1336395001,1220
15,1221,1,1,1336395001,1221
15,1222,1,8,1336467602,1222
15,1223,1,4,1336668002,1223
15,1224,1,3,1336668002,1224
15,1225,1,3,1336984802,1225
15,1226,1,4,1336984802,1226
15,1227,1,4,1336984802,1227
15,1228,1,5,1336984802,1228
15,1229,1,3,1337072401,1229
15,1230,1,5,1337148602,1230
15,1231,1,1,1337738401,1231
15,1232,1,2,1337738401,1232
15,1233,1,2,1337738401,1233
15,1234,1,2,1337738401,1234
15,1236,1,6,1337738401,1236
15,1237,1,3,1337814902,1237
15,1238,1,8,1337887801,1238
15,1239,1,1,1337978701,1239
15,1240,1,1,1338069901,1240
15,1241,1,5,1338113402,1241
15,1242,1,4,1338197401,1242
15,1243,1,4,1338270001,1243
15,1244,1,8,1338368102,1244
15,1245,1,6,1338441001,1245
15,1246,1,5,1338524701,1246
15,1247,1,3,1338619502,1247
15,1248,1,3,1338703202,1248
15,1249,1,7,1338863402,1249
15,1250,1,7,1338912902,1250
15,1251,1,4,1338964201,1251
15,1252,1,3,1339044302,1252
15,1253,1,9,1339135202,1253
15,1254,1,5,1339215601,1254
15,1255,1,4,1339302902,1255
15,1256,1,7,1339415702,1256
15,1257,1,12,1339495502,1257
15,1258,1,9,1339568402,1258
15,1259,1,5,1339670402,1259
15,1260,1,6,1339783202,1260
15,1261,1,3,1339845001,1261
15,1262,1,4,1339921502,1262
15,1263,1,6,1340016002,1263
15,1264,1,9,1340096402,1264
15,1265,1,6,1340172602,1265
15,1266,1,6,1340292901,1266
15,1267,1,7,1340380501,1267
15,1268,1,8,1340438402,1268
15,1269,1,1,1340511602,1269
15,1270,1,5,1340609702,1270
15,1271,1,7,1340759101,1271
15,1272,1,4,1340788201,1272
15,1273,1,3,1340915701,1273
15,1274,1,5,1341268502,1274
15,1275,1,2,1341268502,1275
15,1276,1,3,1341268502,1276
15,1277,1,1,1341268502,1277
15,1278,1,5,1341312302,1278
15,1279,1,2,1341388802,1279
15,1280,1,3,1341480001,1280
15,1281,1,3,1341555002,1281
15,1282,1,3,1341635702,1282
15,1283,1,1,1341730502,1283
15,1284,1,1,1341835502,1284
15,1285,1,4,1341901502,1285
15,1286,1,4,1342003502,1286
15,1287,1,5,1342065601,1287
15,1288,1,7,1342156502,1288
15,1289,1,6,1342244102,1289
15,1290,1,3,1342328101,1290
15,1291,1,4,1342411502,1291
15,1292,1,6,1342520702,1292
15,1293,1,5,1342593602,1293
15,1294,1,3,1342673101,1294
15,1295,1,8,1342756802,1295
